UTIL. GPU,FRÉQ. PROC. GPU,FRÉQ. MÉM. GPU,TEMP. GPU,CONSOM. GPU,UTIL. VRAM GPU,UTIL. CPU,UTIL. RAM
0,400,400,37,3,24,6.37,7.57
0,400,400,37,2,24,7.91,7.56
1,400,400,38,1,24,1.20,7.56
0,400,400,37,1,24,3.62,7.56
20,614,400,37,2,24,3.87,7.56
0,400,400,37,2,24,4.03,7.56
0,400,400,37,2,24,10.97,7.56
0,400,400,38,2,24,1.71,7.56
0,400,400,37,2,24,2.98,7.55
0,400,400,38,2,24,5.97,7.55
0,400,400,37,2,24,2.63,7.56
0,400,400,37,2,24,2.62,7.56
0,400,400,37,1,24,2.00,7.56
0,400,400,38,1,24,4.58,7.56
0,400,400,37,1,24,1.65,7.56
0,400,400,37,2,24,3.21,7.56
0,400,400,37,2,24,1.65,7.56
0,400,400,37,2,24,3.44,7.56
0,400,400,37,1,24,5.02,7.56
0,400,400,37,1,24,1.77,7.56
0,400,400,36,1,24,2.15,7.56
0,400,400,37,2,24,2.66,7.56
0,400,400,37,1,24,2.22,7.56
0,400,400,37,1,24,5.89,7.55
0,400,400,37,1,24,0.97,7.55
0,400,400,37,2,24,2.89,7.55
0,400,400,37,2,24,4.64,7.55
2,400,400,38,1,24,1.98,7.55
0,400,400,37,1,24,2.34,7.55
0,400,400,37,1,24,7.40,7.55
4,400,400,37,2,24,2.67,7.55
